company,url,listingNo,ListingAddr,ListingTittle,ExistOnHougarden,ExistOnOneroof
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/780104,780104,"17B Arran Street, Avondale",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/780491,780491,"42A Canal Road, Avondale",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/apartment/756725,756725,"1, 2, 3 brm/17 Holly Street, Avondale",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/apartment/757098,757098,"1 brm/17 Holly Street, Avondale",,Yes,No
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/apartment/757142,757142,"2 brm/17 Holly Street, Avondale",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/apartment/757144,757144,"3 brm/17 Holly Street, Avondale",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/house/763531,763531,"26 Wingate Street, Avondale",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/house/769409,769409,"18A Powell Street, Avondale",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/house/774696,774696,"71C Ash Street, Avondale",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/house/775475,775475,"1/40 Rosebank Road, Avondale",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/house/776635,776635,"69 Tiverton Road, Avondale",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/house/776818,776818,"18A&18B Ahiriri Avenue, Avondale",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/house/777717,777717,"Lot 1/100 Ash Street, Avondale",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/house/777730,777730,"Lot 2/100 Ash Street, Avondale",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/house/779415,779415,"127B Ash Street, Avondale",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/house/779429,779429,"127C Ash Street, Avondale",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/house/779430,779430,"2/14 Coronet Place, Avondale",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/house/779930,779930,"5/66 Blockhouse Bay Road, Avondale",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/house/780288,780288,"6 Chalmers Street, Avondale",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/house/780405,780405,"33A Canal Road, Avondale",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/house/780481,780481,"Lot 1/21 Tiverton Road, Avondale",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/house/780482,780482,"Lot 2/21 Tiverton Road, Avondale",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/house/780484,780484,"Lot 3/21 Tiverton Road, Avondale",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/section/775793,775793,"12A Riversdale Road, Avondale",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/section/780225,780225,"10A Blockhouse Bay Road, Avondale",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/section/780605,780605,"1797 Great North Road, Avondale",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/townhouse/778663,778663,"19 Saintly Lane, Avondale",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/townhouse/778725,778725,"62 Saintly Lane, Avondale",,Yes,Yes
barfoot,https://www.barfoot.co.nz/property/residential/auckland-city/avondale/townhouse/780904,780904,"Lot 3/292 Blockhouse Bay Road, Avondale",,Yes,Yes
